symbol_v,group
NVDA,Technology
MSFT,Technology
AAPL,Technology
AVGO,Technology
ORCL,Technology
AMD,Technology
CRM,Technology
GOOGL,Technology
GOOG,Technology
META,Technology
ADBE,Technology
TEAM,Technology
QCOM,Technology
TXN,Technology
INTC,Technology
IBM,Technology
SNPS,Technology
CSCO,Technology
NOW,Technology
PLTR,Technology
RTX,Defense
ADI,Defense
LMT,Defense
GD,Defense
HEI,Defense
KBR,Defense
RKLB,Defense
J,Defense
WD,Defense
NOC,Defense
HON,Defense
LHX,Defense
TXT,Defense
BWXT,Defense
SPR,Defense
CAE,Defense
AIR,Defense
MRCY,Defense
TDG,Defense
SAIC,Defense
